bandwidth,latency,packet_loss,devices,load,congestion
630,16448.053,14,14,36.10718055475874,1
2870,2462.774,2,18,726.5851020020365,1
888,1047.169,2,18,260.84802964484123,1
630,16766.71,14,14,35.45957580216033,1
630,16448.053,14,14,36.10718055475874,1
630,15402.789999999999,14,14,38.4081000854123,1
630,15402.789999999999,14,14,38.4081000854123,1
2038,2417.396,2,22,262.1879349071632,1
540,16044.232999999998,12,12,31.682270478231555,1
540,16352.577,12,12,31.11929715108021,1
540,16044.232999999998,12,12,31.682270478231555,1
540,16352.577,12,12,31.11929715108021,1
540,16352.577,12,12,31.11929715108021,1
540,16044.232999999998,12,12,31.682270478231555,1
802,664.512,4,16,320.8147493079053,0
802,860.208,4,16,287.06467233771707,1
450,15102.544,10,10,27.94589476048008,1
2038,1979.445,0,20,271.86271268642315,1
450,15102.544,10,10,27.94589476048008,1
2870,1763.2250000000001,2,18,910.5302680744419,1
802,651.652,4,16,323.3126590831483,0
450,15684.376,10,10,26.971341331554743,1
450,15684.376,10,10,26.971341331554743,1
360,15008.936,8,8,22.487440764333122,1
360,15008.936,8,8,22.487440764333122,1
888,1159.3500000000001,2,18,247.29664019265059,1
360,16131.803999999998,8,8,21.01354883583772,1
360,16131.803999999998,8,8,21.01354883583772,1
802,717.487,4,16,310.9193839604026,0
270,16488.672000000002,6,6,15.438565032267743,1
2870,874.834,2,18,1341.9854771142407,1
270,16800.188,6,6,15.16837912049019,1
270,16488.672000000002,6,6,15.438565032267743,1
270,16800.188,6,6,15.16837912049019,1
2080,1538.604,0,20,320.6486714745584,1
270,16136.994999999999,6,6,15.755387686114165,1
270,16136.994999999999,6,6,15.755387686114165,1
180,17272.808,4,4,9.850702749134122,1
180,17267.853,4,4,9.853374668605008,1
180,17267.853,4,4,9.853374668605008,1
802,869.206,4,16,285.682797936664,1
180,19176.811,4,4,8.9211322839868,1
180,17272.808,4,4,9.850702749134122,1
180,16687.513,4,4,10.176670965556323,1
180,19176.811,4,4,8.9211322839868,1
2784,816.781,4,16,1384.8669707576203,1
180,16687.513,4,4,10.176670965556323,1
802,724.897,4,16,309.58370267905855,1
2058,1625.287,4,20,333.67780360775794,1
2870,1739.142,2,18,918.5358042773978,1
802,885.835,4,16,283.16369141520863,1
888,1179.485,2,18,245.0120097178921,1
2870,1318.945,2,18,1084.9761421680978,1
2030,1048.635,2,18,402.21903853053374,1
2200,1493.3799999999999,0,20,329.6729740352453,1
2200,1493.3799999999999,0,20,329.6729740352453,1
888,657.843,2,18,322.1052898253936,0
2200,1493.3799999999999,0,20,329.6729740352453,1
2870,1450.415,2,18,1026.7648541165477,1
888,1450.18,2,18,217.94317152209226,1
888,1302.269,2,18,231.94509416579905,1
2110,1209.46,2,18,369.32101056366713,1
2784,638.839,4,16,1535.2331742166255,1
1948,1368.3529999999998,0,20,342.00982708236484,1
1948,1368.3529999999998,0,20,342.00982708236484,1
2870,963.874,2,18,1281.141254479666,1
888,866.189,2,18,286.14465094371474,1
2046,720.9649999999999,2,18,464.85547352793344,1
2784,650.809,4,16,1524.1012134050638,1
1932,1097.5600000000002,0,20,377.5815709681725,1
802,847.0269999999999,4,16,289.11326147370886,1
2784,698.707,4,16,1481.1265274117313,1
2870,1058.935,2,18,1221.990980774041,1
888,762.124,2,18,303.0433726570888,1
2870,696.721,2,18,1482.86017559752,1
1942,1552.2720000000002,2,18,322.06598669734257,1
888,1080.7720000000002,2,18,256.63551797121454,1
802,685.279,4,16,316.86148109600845,0
1988,874.161,0,20,424.7233828897304,1
2784,633.5070000000001,4,16,1540.2443944225522,1
802,418.529,4,16,376.44630458735776,0
540,9734.114,12,12,50.30690003851273,1
540,9053.73,12,12,53.71140860158369,1
540,8834.706,12,12,54.90758951004737,1
540,9053.73,12,12,53.71140860158369,1
540,8232.217,12,12,58.49082620133387,1
540,9492.497,12,12,51.46534709516715,1
540,8232.217,12,12,58.49082620133387,1
540,9492.497,12,12,51.46534709516715,1
888,1139.638,2,18,249.57492809531337,1
540,9734.114,12,12,50.30690003851273,1
540,8834.706,12,12,54.90758951004737,1
90,0.006,2,2,89.99946000323999,0
450,13982.293,10,10,30.03545585445432,1
450,20535.067000000003,10,10,20.896150450797297,1
450,18112.692,10,10,23.544563999671006,1
2784,500.4920000000001,4,16,1676.7833483950599,1
450,15328.777,10,10,27.558708162895478,1
450,14958.252,10,10,28.19857713739575,1
450,13053.721,10,10,32.019989581406946,1
2040,1121.55,2,22,419.5046074803799,1
450,14958.252,10,10,28.19857713739575,1
450,19106.997,10,10,22.380268918327285,1
450,24755.817,10,10,17.471781229071475,1
450,23255.651,10,10,18.55237775312648,1
450,22761.002,10,10,18.938595266310738,1
450,23255.651,10,10,18.55237775312648,1
450,22761.002,10,10,18.938595266310738,1
450,18445.95,10,10,23.141065363224733,1
450,24755.817,10,10,17.471781229071475,1
450,15328.777,10,10,27.558708162895478,1
450,13053.721,10,10,32.019989581406946,1
450,20535.067000000003,10,10,20.896150450797297,1
450,21025.787,10,10,20.430598007689802,1
450,21987.556,10,10,19.5758087549629,1
450,18112.692,10,10,23.544563999671006,1
450,18445.95,10,10,23.141065363224733,1
450,21987.556,10,10,19.5758087549629,1
450,21025.787,10,10,20.430598007689802,1
450,19106.997,10,10,22.380268918327285,1
450,13982.293,10,10,30.03545585445432,1
360,23333.012,8,8,14.794715919262277,1
360,23333.012,8,8,14.794715919262277,1
104,0.009000000000000001,2,2,103.99906400842393,0
360,25801.886,8,8,13.431890576655688,1
360,23387.411,8,8,14.761714558384242,1
360,23660.702,8,8,14.598124578935344,1
360,25758.749000000003,8,8,13.4535437362935,1
360,23660.702,8,8,14.598124578935344,1
360,25758.749000000003,8,8,13.4535437362935,1
360,23387.411,8,8,14.761714558384242,1
104,0.001,2,2,103.999896000104,0
2060,1673.5919999999999,0,20,302.96320455776345,1
802,764.506,4,16,302.6342783759307,1
360,25801.886,8,8,13.431890576655688,1
2870,2185.8650000000002,2,18,789.7384226889714,1
90,0.004,2,2,89.99964000144,0
270,24682.304,6,6,10.513075462388421,1
270,25819.431,6,6,10.067327677458929,1
2120,0.003,2,2,2119.99364001908,1
90,0.004,2,2,89.99964000144,0
270,25819.431,6,6,10.067327677458929,1
2120,0.003,2,2,2119.99364001908,1
270,24682.304,6,6,10.513075462388421,1
802,1429.959,4,16,219.75679425043796,1
180,31542.560999999998,4,4,5.531218025526633,1
180,29195.513,4,4,5.961150585519114,1
180,30792.78,4,4,5.661662805202942,1
180,30792.78,4,4,5.661662805202942,1
180,27413.933,4,4,6.334920266053981,1
180,31542.560999999998,4,4,5.531218025526633,1
802,524.961,4,16,350.1728896673423,0
104,0.003,2,2,103.999688000936,0
180,29195.513,4,4,5.961150585519114,1
180,27413.933,4,4,6.334920266053981,1
90,0.005,2,2,89.99955000224999,0
90,0.005,2,2,89.99955000224999,0
888,1129.944,2,18,250.7108168102072,1
2870,1964.566,2,18,848.6908370398905,1
2258,2349.783,2,22,265.09179848366296,1
104,0.007,2,2,103.99927200509596,0
1280,921.987,20,20,665.9774493792102,1
1280,921.987,20,20,665.9774493792102,1
1280,921.987,20,20,665.9774493792102,1
1280,921.987,20,20,665.9774493792102,1
104,0.009000000000000001,2,2,103.99906400842393,0
156,0.009000000000000001,2,2,155.9985960126359,0
156,0.009000000000000001,2,2,155.9985960126359,0
156,0.009000000000000001,2,2,155.9985960126359,0
156,0.009000000000000001,2,2,155.9985960126359,0
196,0.016,2,2,195.9968640501752,0
1790,224.524,2,18,677.814399717768,0
2188,409.782,2,18,604.3487574674666,0
1332,258.515,4,16,845.4408568829135,1
918,674.665,2,18,336.7837746653808,0
6122,5600.3910000000005,0,24,134.23447186689395,1
2188,285.988,2,18,930.0242303971731,1
168,0.003,2,2,167.999496001512,0
918,663.8439999999999,2,18,338.97408651291823,0
1416,217.312,4,16,943.0614337162535,1
1756200,7629.429,1092,1496,1052.4450690769922,1
1292,502.39199999999994,2,18,624.3377227780766,0
18996,460.161,8,32,621.8492344337371,1
168,0.009000000000000001,2,2,167.9984880136079,0
3024,1244.202,28,28,1347.472286362814,1
3024,1244.202,28,28,1347.472286362814,1
3024,1244.202,28,28,1347.472286362814,1
3024,1244.202,28,28,1347.472286362814,1
3024,1244.202,28,28,1347.472286362814,1
2208,289.402,2,18,879.4774631961174,1
918,667.3679999999999,2,18,338.25766117617707,0
776,209.133,4,16,420.13575016147934,0
1026,197.552,4,16,632.9579007842666,0
168,0.008,2,2,167.99865601075192,0
920,483.00399999999996,2,18,381.657770309453,0
942,523.646,4,16,442.3599707543616,0
2788,2032.8659999999998,0,44,391.0492583582658,1
1992,727.527,0,16,210.70582399001577,1
168,0.009000000000000001,2,2,167.9984880136079,0
17620,681.871,12,28,10265.947864015729,1
758,566.928,4,16,312.71379412455457,0
1092,833.8539999999999,2,18,402.43116409485157,1
1774,766.293,4,16,852.6331701478746,1
1366,583.476,4,16,693.4112042114941,0
4252,625.871,6,18,2450.378904599442,1
3826,1173.262,4,28,957.0866283034442,1
758,451.172,4,16,337.6581135799202,0
918,877.186,2,18,300.4497156914658,1
900,694.908,2,18,322.14137876510114,0
900,534.477,2,18,355.8215600494501,0
814,322.297,4,16,412.91782405919395,0
2908,688.948,0,20,537.6127625006809,1
838,537.852,2,18,314.72469392373256,0
2046,772.218,0,20,455.9258511086108,1
1322,432.61699999999996,2,18,675.6865233345688,0
1834,249.214,2,18,678.8268463209666,0
918,647.2489999999999,2,18,342.3890377228944,0
1170,190.223,4,16,757.841177661665,0
4962,894.891,0,40,1677.1413236961916,1
10820,998.8629999999999,4,44,474.26962228026633,1
1938,282.722,2,18,657.975773394391,0
2065951,9957.55,1308,1800,973.0277297388559,1
3216,1232.252,0,40,425.57919087988273,1
1850,305.85400000000004,4,16,1211.4677444798576,1
10090,845.4209999999999,8,24,5247.583071830222,1
1562,379.788,4,16,937.8252311224622,1
2330,588.943,4,16,1297.7180427491735,1
3946,596.682,6,18,2303.52693898973,1
904,725.222,2,18,318.7995515939398,1
168,0.01,2,2,167.99832001679982,0
1042,740.256,4,16,444.76214993656106,1
1072,1189.909,2,18,327.86750499678294,1
2070,810.0540000000001,2,18,948.0380143354839,1
3946,860.5129999999999,6,18,1976.8741202023311,1
4620,1189.8999999999999,2,22,605.5071007808576,1
2752,721.047,4,16,1443.3074750428082,1
7184,801.9190000000001,6,22,3790.403453207386,1
1048,407.476,4,16,554.1835171612163,0
818,456.038,4,16,377.73739421635975,0
1562,697.26,4,16,762.4052885238561,0
918,1155.184,2,18,261.6945931298673,1
30260,823.7090000000001,16,40,501.1764486549115,1
3040,1094.653,0,20,393.382579358013,1
1708,860.687,4,20,533.1364168180893,1
20590,44225.96,12,56,417.28246343471756,1
1858,1004.763,4,20,544.7027903048889,1
2006,1393.9669999999999,2,22,486.22224115871273,1
3088,1316.28,2,22,567.288928799627,1
1904,1392.847,2,22,453.0168456236442,1
64394,2838.932,38,90,318.31769877663896,1
289714,5293.481,172,276,45530.92318861374,1
1814,837.254,4,20,587.8337997903392,1
2062,1463.53,2,22,500.09539157225606,1
6460,1843.741,2,22,293.9789523729482,1
3684,1438.237,0,20,392.9068421158403,1
1904,1263.457,4,20,518.6756364269346,1
1818,1465.404,0,20,324.49042834358994,1
1796,1722.713,2,22,362.8733546282697,1
2024,2337.648,2,22,367.9237594857217,1
32528,3429.712,16,60,6944.921024211054,1
29934,2360.055,16,60,8381.410423341285,1
1754,844.596,4,20,549.7138668846728,1
1930,1102.556,2,22,527.9288637258651,1
1858,1141.3519999999999,2,22,475.4005880397058,1
1886,1067.207,4,20,536.956386080349,1
1738,2716.886,4,20,280.34220043337353,1
35732,1943.965,22,50,11790.221690814938,1
5606,1834.468,2,22,288.5903104215676,1
2686,1468.132,0,20,336.2867140007099,1
2016,1616.972,4,24,457.0167353720254,1
3874,1916.194,2,22,1039.0255243649772,1
1380,2119.2980000000002,2,26,223.76829658468026,1
1382,2221.94,2,26,217.26040832541884,1
1920,2420.967,2,22,323.30040015001606,1
1380,2663.656,2,26,190.520070661656,1
1290,1905.3329999999999,2,18,322.16616821548513,1
3818,2141.6330000000003,2,22,963.1933456263032,1
1280,28213.135000000002,20,20,43.815906783027565,1
1280,28213.135000000002,20,20,43.815906783027565,1
1280,28213.135000000002,20,20,43.815906783027565,1
1280,28213.135000000002,20,20,43.815906783027565,1
1280,28213.135000000002,20,20,43.815906783027565,1
1280,28213.135000000002,20,20,43.815906783027565,1
43406,803.314,24,72,22903.387873659274,1
918,678.4689999999999,2,18,336.02050440014085,0
2854,1313.131,0,44,512.7249602378766,1
168,0.015000000000000001,2,2,167.99748003779942,0
918,624.2860000000001,2,18,347.2294903730008,0
175615,1265.907,112,188,76338.96713324952,1
776,0.003,2,2,775.997672006984,0
776,0.003,2,2,775.997672006984,0
776,0.003,2,2,775.997672006984,0
776,0.003,2,2,775.997672006984,0
168,0.003,2,2,167.999496001512,0
2858,466.69899999999996,18,18,1948.593406009004,1
2858,466.69899999999996,18,18,1948.593406009004,1
2858,466.69899999999996,18,18,1948.593406009004,1
168,0.007,2,2,167.99882400823194,0
1242,180.252,4,16,825.2474895191874,1
4956,264.132,0,20,591.710359361206,1
2150,0.004,2,2,2149.9914000344,1
1970,0.01,2,2,1969.9803001969979,1
1850,0.01,2,2,1849.9815001849981,1
754,0.008,2,2,753.9939680482556,0
1406,0.009000000000000001,2,2,1405.987346113885,1
1576,201.833,4,16,1088.3375643704242,1
756,0.006,2,2,755.9954640272159,0
1768,0.01,2,2,1767.982320176798,1
49450,611.251,28,72,727.3851187679635,1
2842,1151.317,0,44,553.1495358424631,1
3358,344.68,2,22,954.874022072166,1
780,185.40499999999997,4,16,431.91989235746433,0
32272,644.655,18,58,671.2654021664118,1
7318,1225.539,2,54,1764.0670417368558,1
4976,201.967,6,18,3916.912860336432,1
4086,165.417,6,18,3276.080578882924,1
1558,414.536,2,18,851.1625013431966,1
1686,419.779,2,18,938.1741806295204,1
2112,252.44100000000003,4,16,1472.3248440445495,1
10880,7312.840999999999,40,40,1308.8184893708421,1
7390,186.136,2,22,687.9480936418757,1
7736,246.582,8,24,5554.387918323864,1
1122,188.998,4,16,718.2518389433792,0
1186,198.691,4,16,765.8353987808368,0
17078,4490.101000000001,116,116,3110.6895847635587,1
3096,43982.441,0,56,34.85804605401472,1
3898,568.472,2,34,1601.558714468604,1
2544,535.636,2,22,817.902159105413,1
1462,793.553,6,26,505.1425856944289,1
1546,905.8739999999999,4,28,474.32306647763704,1
4672,628.707,0,20,591.8805531013252,1
1460,954.264,2,26,400.1506449486866,1
1632,1335.126,2,30,387.1311441010036,1
1612,417.471,2,18,554.5086989434,0
4668,328.615,0,20,668.365177271068,1
1468,720.163,2,26,459.2588027995022,1
4848,963.0379999999999,4,32,1425.3417407100626,1
1330,376.24800000000005,4,16,771.6632467404131,0
25710,1307.76,12,56,10340.763337608763,1
7199085,43776.702999999994,4610,6222,160003.22757126627,1
1820,338.931,2,18,594.5041230653409,0
9558,1194.859,4,44,425.5398638363558,1
918,796.4879999999999,2,18,313.94587662149706,1
836,320.574,4,16,430.1159950142892,0
2136,367.036,2,18,798.8085171129363,0
136,0.007,2,2,135.99904800666394,0
11970,493.91,4,24,515.4259627420661,1
2512,340.73199999999997,2,18,628.015143966132,0
168,0.003,2,2,167.999496001512,0
918,829.626,2,18,308.25972083912234,1
406,0.007,2,2,405.99715801989385,0
2092,915.0740000000001,6,26,802.0577794905053,1
15618,328.484,6,26,847.5826581276101,1
4756,381.521,0,20,574.7288676755547,1
2878,580.452,4,20,1471.7308719277776,1
6797,1845.588,4,44,1744.1035033884032,1
32506,1634.732,18,58,411.4270445722753,1
78,0.003,2,2,77.999766000702,0
78,0.003,2,2,77.999766000702,0
952,521.79,4,16,449.4706891226779,0
17278,1300.463,10,46,431.2175418600517,1
918,884.886,2,18,299.2223402370223,1
23236,474.962,10,34,614.2531129615542,1
918,818.168,2,18,310.2023575379173,1
5514001,35181.515,3522,4766,151652.3285440093,1
830,376.81,4,16,408.18994632520105,0
168,0.023,2,2,167.99613608886995,0
168,0.003,2,2,167.999496001512,0
1182,346.076,4,16,679.010694789893,0
217317,3315.317,138,226,49707.819842667406,1
2792,0.004,2,2,2791.988832044672,1
168,0.001,2,2,167.99983200016803,0
168,0.008,2,2,167.99865601075192,0
918,671.246,2,18,337.4727598450497,0
918,675.14,2,18,336.68827680074503,0
6772,277.344,0,20,626.299571611093,1
192,12.899000000000001,0,4,94.77746547286552,0
918,623.815,2,18,347.330206950915,0
5554,190.10299999999998,0,20,769.6812796875565,1
180,0.005,2,2,179.99910000449998,0
180,0.005,2,2,179.99910000449998,0
180,0.005,2,2,179.99910000449998,0
180,0.003,2,2,179.99946000162,0
180,0.003,2,2,179.99946000162,0
180,0.003,2,2,179.99946000162,0
180,0.003,2,2,179.99946000162,0
180,0.003,2,2,179.99946000162,0
180,0.003,2,2,179.99946000162,0
180,0.003,2,2,179.99946000162,0
180,0.003,2,2,179.99946000162,0
2832,1160.125,0,44,550.894045483479,1
2832,1160.125,0,44,550.894045483479,1
360,1007.6529999999999,4,4,179.31385553180755,1
360,1007.6529999999999,4,4,179.31385553180755,1
360,1007.6529999999999,4,4,179.31385553180755,1
360,1007.6529999999999,4,4,179.31385553180755,1
5366,192.322,6,18,4275.690627196345,1
2256,187.225,4,16,1674.493040493588,1
918,675.253,2,18,336.6655663353535,0
180,0.008,2,2,179.9985600115199,0
200,0.003,2,2,199.9994000018,0
200,0.003,2,2,199.9994000018,0
200,0.003,2,2,199.9994000018,0
180,0.006,2,2,179.99892000647998,0
180,0.006,2,2,179.99892000647998,0
180,0.006,2,2,179.99892000647998,0
180,0.006,2,2,179.99892000647998,0
180,0.006,2,2,179.99892000647998,0
180,0.002,2,2,179.99964000071998,0
180,0.006,2,2,179.99892000647998,0
168,0.013,2,2,167.9978160283916,0
180,0.006,2,2,179.99892000647998,0
10930,707.186,4,40,604.5035514583648,1
180,0.003,2,2,179.99946000162,0
168,0.015000000000000001,2,2,167.99748003779942,0
180,0.003,2,2,179.99946000162,0
41726,781.325,22,66,665.7965278654933,1
2136,225.99099999999999,2,18,954.33000731653,1
180,0.003,2,2,179.99946000162,0
6218,227.11700000000002,0,20,679.6417945477082,1
180,0.003,2,2,179.99946000162,0
748,0.01,2,2,747.9925200747992,0
180,0.003,2,2,179.99946000162,0
2866,1411.386,0,44,498.46851561715954,1
1248,244.608,4,16,787.3965136010696,0
312215,1253.9769999999999,198,306,137055.08086373552,1
168,0.02,2,2,167.99664006719868,0
1218,371.08299999999997,4,16,692.8829253954721,0
168,0.007,2,2,167.99882400823194,0
400,1246.909,4,4,178.02234091367296,1
1040,489.75800000000004,20,20,698.0999598592523,0
1040,489.75800000000004,20,20,698.0999598592523,0
400,1246.909,4,4,178.02234091367296,1
14728231,57237.827000000005,9376,12660,1213.987602937177,1
400,1246.909,4,4,178.02234091367296,1
24092,231.606,10,34,751.8638265809034,1
400,1246.909,4,4,178.02234091367296,1
452157,1565.097,288,408,1160.1900434954314,1
168,0.008,2,2,167.99865601075192,0
400,1246.909,4,4,178.02234091367296,1
286240,1644.148,182,282,107120.32760647286,1
200,0.009000000000000001,2,2,199.99820001619986,0
10880,7312.840999999999,40,40,1308.8184893708421,1
200,0.009000000000000001,2,2,199.99820001619986,0
10880,7312.840999999999,40,40,1308.8184893708421,1
200,0.005,2,2,199.99900000499997,0
10880,7312.840999999999,40,40,1308.8184893708421,1
200,0.005,2,2,199.99900000499997,0
10880,7312.840999999999,40,40,1308.8184893708421,1
1166,273.31,4,16,705.2485254965405,0
200,0.008,2,2,199.9984000127999,0
20188,155.371,14,30,17166.780194413743,1
200,0.008,2,2,199.9984000127999,0
1070,217.978,4,16,658.4683795602219,0
200,0.005,2,2,199.99900000499997,0
200,0.005,2,2,199.99900000499997,0
918,625.488,2,18,346.97272449873515,0
200,0.005,2,2,199.99900000499997,0
11840,264.7,2,22,2096.9399857673757,1
200,0.005,2,2,199.99900000499997,0
2018,496.533,0,20,642.8191025523661,0
200,0.005,2,2,199.99900000499997,0
918,632.841,2,18,345.4102389638673,0
3060,181.007,4,16,2364.084209492408,1
200,0.005,2,2,199.99900000499997,0
918,626.981,2,18,346.6543247892876,0
200,0.005,2,2,199.99900000499997,0
477475,1755.6419999999998,306,430,1092.3044430299726,1
4034,633.985,0,36,626.6887394927126,1
200,0.003,2,2,199.9994000018,0
1274,182.29000000000002,4,16,850.8910673354253,1
10795,844.803,6,46,4986.440286578025,1
200,0.003,2,2,199.9994000018,0
1492,8.271,0,4,1374.6304316994142,1
200,0.003,2,2,199.9994000018,0
96737,1122.4350000000002,58,122,44490.87957935107,1
200,0.003,2,2,199.9994000018,0
8584,230.717,2,22,651.6526545095257,1
200,0.003,2,2,199.9994000018,0
918,638.853,2,18,344.14312937157877,0
200,0.003,2,2,199.9994000018,0
30092,248.781,14,38,701.4840872819174,1
200,0.003,2,2,199.9994000018,0
2844,1964.72,0,44,406.7837772201085,1
200,0.003,2,2,199.9994000018,0
6698,1914.5749999999998,0,52,1181.6474099997426,1
918,872.915,2,18,301.1348619665068,1
200,0.004,2,2,199.9992000032,0
4440,618.564,6,18,2577.593471744089,1
200,0.008,2,2,199.9984000127999,0
43355,974.72,26,74,20931.068708475126,1
200,0.008,2,2,199.9984000127999,0
200,0.008,2,2,199.9984000127999,0
2844,285.157,2,18,633.3856486016884,1
200,0.003,2,2,199.9994000018,0
322,0.01,2,2,321.99678003219964,0
200,0.003,2,2,199.9994000018,0
2724,255.04500000000002,4,16,1956.9019437550048,1
101764,1036.788,62,102,622.548836697781,1
200,0.003,2,2,199.9994000018,0
872,538.437,2,18,336.7053704506587,0
104,0.001,2,2,103.999896000104,0
104,0.002,2,2,103.999792000416,0
3676,301.315,2,18,623.9842005970884,1
2700,1285.5639999999999,2,22,442.77911272666177,1
918,664.6419999999999,2,18,338.8115883174881,0
896,221.558,4,16,514.0975704796662,0
200,0.009000000000000001,2,2,199.99820001619986,0
2614,241.523,2,18,658.8681804525571,0
200,0.003,2,2,199.9994000018,0
200,0.003,2,2,199.9994000018,0
11701,616.813,6,46,6178.203663627148,1
200,0.009000000000000001,2,2,199.99820001619986,0
918,659.375,2,18,339.8870056497175,0
5514,474.746,2,18,246.82216463038378,1
104,0.008,2,2,103.99916800665595,0
1880,379.524,4,16,1168.5189964074566,1
200,0.009000000000000001,2,2,199.99820001619986,0
1880,345.81899999999996,4,16,1197.7836544141521,1
1880,282.292,4,16,1257.123962404819,1
200,0.009000000000000001,2,2,199.99820001619986,0
1966,515.394,2,18,1063.7497574888114,1
864,1760.4789999999998,2,18,184.75054510467206,1
168,0.008,2,2,167.99865601075192,0
200,0.003,2,2,199.9994000018,0
1206,724.875,0,16,211.0297847670121,1
3982,445.359,4,20,2489.346937335292,1
200,0.009000000000000001,2,2,199.99820001619986,0
168,0.016,2,2,167.9973120430073,0
1966,591.9219999999999,2,18,1012.6124269907698,1
200,0.009000000000000001,2,2,199.99820001619986,0
88328,1090.031,54,110,693.7696139435253,1
200,0.009000000000000001,2,2,199.99820001619986,0
1294,410.97,2,18,666.2083531187765,0
200,0.003,2,2,199.9994000018,0
7236,721.878,2,42,3111.7187164247407,1
200,0.003,2,2,199.9994000018,0
168,0.009000000000000001,2,2,167.9984880136079,0
40874,851.6329999999999,22,70,611.3522496088588,1
200,0.008,2,2,199.9984000127999,0
200,0.008,2,2,199.9984000127999,0
200,0.008,2,2,199.9984000127999,0
1152,184.412,4,16,746.3619078496334,0
200,0.008,2,2,199.9984000127999,0
168,0.006,2,2,167.99899200604798,0
200,0.008,2,2,199.9984000127999,0
168,0.009000000000000001,2,2,167.9984880136079,0
3158,987.803,2,18,1269.743530923336,1
200,0.002,2,2,199.9996000008,0
200,0.002,2,2,199.9996000008,0
200,0.002,2,2,199.9996000008,0
1202,190.63,4,16,784.4586479426857,0
200,0.009000000000000001,2,2,199.99820001619986,0
8012,240.51500000000001,2,22,644.8934515100583,1
200,0.009000000000000001,2,2,199.99820001619986,0
26926,263.627,12,36,724.897457873249,1
200,0.009000000000000001,2,2,199.99820001619986,0
4588,287.98699999999997,4,20,1742.2536097025825,1
200,0.009000000000000001,2,2,199.99820001619986,0
918,633.155,2,18,345.34382835676956,0
